hotel name,reviews
airport hotel ,"Not as bad as I expected If you compare this hotel to American standards, then yes I guess I would say this isn't the best place to stay for the money. But in comparison to India standards it wasn't all that bad. Maybe I just lucked out. The location was perfect in relation to the airport (domestic and international terminals). My bathroom was clean so was my bedding, the staff was responsive. I did order room service which wasn't to good, the menu was strictly vegetarian and over priced. I got much better quality and tasting food from the Shangra Lai hotel in Delhi for a little bit more money. Would I stay here again for a night...yes. I probably wouldn't for more than one night though. "
airport hotel ,"Don't stay !! Wrote a mail and got reservation which included airport pick-up. No car waited. Took pre-paid taxi to the hotel, At the reception no reservation, 5 (!) people took care of us, no one said something about the mail-although I got answers from them. Gave us rooms at higher price than reserved.Later, at home, saw another mail form this hotel promising a discount on their rates which they didn't give when we checked-in.The hotel was under renovation, losts of dust, noisy working until late. Rooms dirty, sheets filthy, obvious not changed since the last guests. But at my request, new sheets were brought. Got taxi back to the airport, and they even gave us a wake-up call.All in all, not worth the money . "
airport hotel ,"Better stay at Airport Due to unavailability in star hotels was compelled to stay in this hotel for my transit flight.Pros :Staff was good.Airport pickup and dropCons:1.Dirty Rooms.2.Mosquitoes, all varieties of insects.3.Even after 20 hrs of flight journey chose to stay awake was not feeling secure.It would have been better if I would have stayed in the transit lounge at the ariport. "
airport hotel ,"My worst hotel experience ever! I had to stay one night near the Delhi airport while waiting for a connecting flight... I now know I should have spent the night at the airport instead! The room was really dirty and smelly, the bed was horrendous - the linen was so dirty, smelly and spotty that it was obvious that the linen had not been washed for ages. The towels, apparently formerly white, were brownish gray and contained samples such as hair and toothpaste from previous unlucky visitors. The shower offered cold water only and there was no sign of the internet connection which was promised at the time of booking. Over 100 euros for this crap is the worst rip-off ever - never has the price and the quality of a hotel room been so far apart! There were far more staff in the hotel than guests and all of the staff were of course waiting to be tipped (and sweared at you if you didn't) - as if the 100 euro room price was not enough for this &quot;quality&quot;! Do yourself a favour and never step into this craphole... "
airport hotel ,very poor do not stay here we decided to stay here for one night during a layover at the airport on our way back from nepal. On our outwards journey we stayed at the hotel clarke international which was amazing includidng an awesome meal too.we booked The airport hotel because we had an early morning flight and wanted to be near the hotel. After a breif web serch we decided to book airport hotel the website gave the impression or a professionally run establishment.On arrival we found the reception staff to be rude and very unhelpful. We had a late flight so we had no indian rupees to pay the bill with. They would not except us dollars or any foreign currency (weird for an airport hotel) instead I was told I would be taken to the airport to change money. in the end I was given directions on how to walk to the airport for currency exchange. Once in our room we found it disgusting I wanted to leave but we had no other options and we were on an early morning flight the next day so we decided to grin and bear it.The sight of the room still makes me want to be sick. dirty peeled wall papper. A smelly dirty bathroom. with no hot water dirty carpet and a dirty bed. with the location of the airport there were not restaurants nearby so we had to eat in the hotel restaurant. The hotel webstie proudly boasts cuisine from around the world. what the website didnot say was expensive poor vegitairian indian food. by now I just wanted to get drunk and fall asleep to end the misery. I was told by the reception I would hve to walk to the shop to buy beer the hotel did not sell beer.We were then told breakfast was part of our room package. when we went for breakfast in the morining we told we would have to pay. I dedcide to check out and that I would rather sit in delhi airport?when leaving the room we were harassed by 3 differnt members of staff for our room key so they could check our mini bar.I would not wish this place on my worst enermy please please please do not give these people your hard earned money 
airport hotel ,"Not Recommended Because of a unexpected layover at the Delhi Airport, it was necessay to get a quick room, which ended up being spur of the moment at the Airport Hotel Delhi. It is very close to the Delhi Airport, but the room was very basic, the shower didn't work, and it was noisy.The service was actually the best part of the overnight stay. I managed to order some coffee and toast in a pinch very early in the morning before flying out.This hotel should be used a emergency stays only, but not recommended.Watch out for very overpriced cabs that are stationed outside at the Delhi Airport. Use the pre-paid cab service from inside the terminal. "
airport hotel ,"Stay Away!!!!!! Had to transit via Delhi on my way to Surat (Gujarat) and decided to spend the night close to the hotel. Worst decision of my life as the hotel was quite possibly the worst hotel that I've ever stayed in India. The bed was awefull, the room dirty and the shower full of mould. There was no proper hot water and the front door wouldnt lock properly. Would highly suggest that you look elsewhere! "
airport hotel ,"Worst hotel ever been High rates, bad rooms, complicated check in "
airport hotel ,Bruyant 
ajanta hotel ,"a decent hotel in an interesting part of Delhi If you are wanting a good basic hotel at a good price offering decent accommodation, inexpensive restaurant, internet access and situate in an old part of the city then the Ajanta does nicely. They offer free transport from the airport (24 hours) which is very handy when you are a first time visitor to India. The onsite Bureau de Change is an added bonus. Street noise can be a slight problem until into the early hours. "
ajanta hotel ,"great hotel true value for money its a great hotel excellent staff very friendly and helpful, rooms were clean n tidy and very close to public transport will go back to same hotel whenever will be visiting delhi again "
ajanta hotel ,"Overpriced- What a Rip Off I stayed at Ajanta with my spouse and another relative earlier this month. The hotel is 15 mins by rickshaw to Connaught Place and is on a very busy and interesting street. We booked the family room and were quite astonished that the actual room was nothing like the pics on the hotel website.Those pictures are misleading. We were put in a ugly windowless room which is not up to international standards at all. The bathroom was not impressive also. The night when our relative arrived to join us, we were taken by the Ajanta staff to a hotel at the back of Ajanta and told that we needed to check in again. This was quite confusing and uncalled for. We had to be rude and grab our bags back and walk back to Ajanta''s front building.Like previous travellers who commented on this hotel, we were also offered tour packages. We were told that the price for just a driver from Delhi to Agra and Jaipur and back to Delhi would be £220 for 3 persons. Luckily we decided to visit the Incredible Travel Centre Office in Connaught Place before making any decisions and were shocked to be offered a package of £160 per person for a week trip to Delhi,Agra, Jaipur and Pushkar. This price included all hotels, taxes,driver, breakfast etc. We immediately accepted and checked out of Ajanta the next day never to return for the duration of our trip and I dont think ever to return again. Probably the best thing about this hotel is the restaurant which serves good food;yet it was very pricy compared to other hotel restaurants which had higher standards with cheaper but good food.I would not recommend this hotel to anyone . The staff whould also try to make the atmosphere at the hotel relaxed. We felt uncomfortable every time we came to he reception area because staff seemed so distant and unfriendly. "
ajanta hotel ,value for money good. user friendly clean hotel. rooms need to be more airy. 
ajanta hotel ,"Don't stay here Don't stay here. They constantly wanted to sell us tours etc even when we had said that we preferred to make our own plans. My husband was using the internet and was looking at a hotel in another city, when one of the staff came up behind him said &quot;that place has no running water&quot; which was completely untrue, we stayed there and it was beautiful, plenty of running water, clearly the hotel gets a commission from sending people to other hotels which did not include this one and they are prepared to lie to you.. I also had the misfortune to leave my mobile phone in the room when we went away for a day. Luckily I got it back but a call had been made to a number I did not recognise. One day one of the staff knocked on our door saying that we should have checked out by now when we had already pre paid for that night and the following night so they were very disorganised as well. I have never posted a negative review before but I think people need to know what they are getting in for when they stay here. I could go on and on with bad points about this place... "
ajanta hotel ,"Require improvement Positives:- Close to New Delhi railway station- Above average restaurant. Good value prices. (For dinner only)- Air conditioning works- Service OK. Didn't have much trouble with the tour manager.Negatives:- Website photos are misleading. There were no proper windows in my deluxe room.- Sheets provided not particularly clean- Bathroom not clean (see photos attached), cracks on the bathroom wall- Lift wasn't working on day 2- No hot waterConclusion I paid around INR 3000 per night for a deluxe room, it just didn't feel right. Should have paid less for a budget hotel, or pay more at a quality hotel. "
ajanta hotel ,Good hotel in not so good area The pickup from the station was rather badly organised - 1 car for seven people so we had to wait for a second car! Hotel is in the Para gang area of Delhi - not all taxi's rickshaws will go to the area! This is ok as long as you know in advance. But the area is being redeveloped - it had changed enormously in 2 years so this may change.The deluxe rooms are good - large clean and well equiped - but it is rather noisey. The staff are helpful. Breakfast is not included and the attached resturant is slow. 
