hotel name,reviews
88 xintiandi executive residence ,"LOVELOVELOVE THIS HOTEL!!! Have stayed at 88 Xiantiandi three times now and it is always a treat. Huge rooms you hardly want to leave. Curtained bedroom area. Fabulous bed, great pillows, spacious and stylish lounge/suite area, fully equipped for the business traveler, great lighting and electronics. Delicious breakfast buffet. Now, if only the hotel could make sure it woudn't rain when I come to town. It is also a 5 minute walk to Green Massage and YPlus Yoga, which are both fantastic and make for a perfect day. "
88 xintiandi executive residence ,"Fantastic Hotel but comes with a premium I stayed at Xintiandi last December to watch the new years celebration. This hotel is pretty fantastic, the rooms are spacious and well maintained. The rooms with the view of the lake were a great place to watch the fireworks from. The hotel was impeccably clean with contemprorary furnishings and the hotel staff is extremely helpful. The location is also ideal, since it is right next to a main shopping area. While the hotel was a little more expensive, it was worth it for the view. This hotel also has executive residences for the frequent business traveller. I can’t imagine a much better place to stay if I were travelling for work. "
88 xintiandi executive residence ,"Best area in Shanghai We spent five days in Shanghai and went all over the city. We felt very lucky to come back to the 88Xintiandi at the end of each day. This is the best area and neighborhood. Very convenient to everything. We walked to the Yuyuan Gardens, the Peoples Park and the French Concession. The two blocks around the hotel are filled with great cafes and restaurants, including a wonderful bakery. Unlike large, busy hotels this hotel is a quiet, peaceful place. Our room had a large living area with a separate kitchen and bed area. The best part of the room were the large windows and glass door that opened out to a balcony overlooking a beautiful park and lake with the city skyline in the distance. What a great view! It was so interesting watching all of the park activities with people coming and going. The room was very clean and comfortable with free internet, a music system, leg&amp;foot massager, a bowl of fruit (that is filled each day), comfortable bed with all the different pillows you want, and free water bottles. Also included is a great breakfast buffet with Chinese dishes and Dim sum that was delicious. They also had typical American breakfast foods (cereal, fruit, eggs cooked anyway you want) and European foods (meat &amp; cheese and other salads, with the best homemade bread and jam.) We did use the pool and fitness center and were the only ones there. The workers were very nice and helpful and most spoke English. They had no problem getting us a taxi whenever we needed one. We would definitely stay at the 88Xintiandi again. If you want a great experience in Shanghai you should stay here! "
88 xintiandi executive residence ,"great location great service Have stayed at 88 Xintiandi three times in past year and overall had a good experience. The rooms are great with cool design and furnishings. For a boutique hotel, it is a very good place for business travelers as the desk accessories and fax / phone communication system are first rate. Breakfast is pretty basic in terms of selection of items but the dinning area is nice and they do a happy hour type thing in the late afternoon. Some reviewers say the hotel needs more of a restaurant and a bar. i disagree. There are more than 40 bars and restaurants in the Xintiandi complex alone.....all you have to do is walk 20 -25 meters and you are there! Plus concierge is quite helpful.Only drawback to the hotel is that many taxi drivers don't know the exact hotel location. You can get a card with the name of the hotel in Chinese characters or you can just say &quot;Xintiandi&quot; and they'll drop you off near Starbucks ( about 3 minute walk from hotel).This is a very nice hotel in a fun part of town. Definitely worth a try. "
88 xintiandi executive residence ,"Upscale Alternative This hotel property in the much acclaimed Xintiandi area of Shanghai is owned and operated by the very developer that developed Xintiandi Shanghai. As a very high quality hotel product this &quot;boutique&quot; property is so extrodinarily located it forgets a few of the fundamental needs of a high daily rate hotel such as a bar and full service restaurant. Kind of a shame. The room experience however is magnificent as long as you are not facing the Xintiandi &quot;mall&quot;. Ask for a room facing the road so that you won't hear the pounding of the late night disco all night across the mall. The rooms are designed beautifully with a raised bed area enclosed with sheer drapery making for a true zenful experience. Music is provided in the room as well which does take one away from the hussle of the Shanghai street scene. The desk area is huge and very accommodating for working all day if necessary. Anyone would want an office away from home like this.The staff is very courteous and multi-lingual. One of the nights I was there I was invited by the management team to join them in the 3rd Floor meeting/concierge suite to partake of a bit of happy hour. Wonderful management staff along with local patrons of the hotel were on hand to share some complimentary wine and hors d'ouevres. A very nice evening before a dinner out.All-in-all, this hotel is a very charming, restful and elegant property that well suits the location and a discerning guest. "
88 xintiandi executive residence ,"An Oasis of Calm and Elegance in bustling Shanghai This 50 room, 7 storey boutique hotel is an Oasis of calm and elegance amongst Shanghai’s bustling skyscraper blocks.Strategically placed on the edge of the fashionable Xintiandi shopping and restaurant precinct and across the road from a beautiful park and lake.My wife and I walked comfortably from the hotel to view the impressive collection of artefacts in the Shanghai museum. On another occasion we strolled from the hotel through the beautiful Fuxing park (laid out by the French in days past), into the old French Concession area. Here we viewed the homes of Chou En Lai and Sun Yat Sen, the founder of modern China.Our room at 88 Xintiandi was extremely spacious and very tastefully decorated, in a modern style but using many traditional Chinese elements. Free Internet cable connection in the room, plus free Wifi in the hotel enabled us to keep up to date with e-mails – even when eating breakfast, overlooking the park. The hotel personnel, led by resident manager Jocelyn Yu, were all most attentive and helped us with all our varied requests concerning, places of interest, shopping, tailoring, Mandarin tips and “where to buy muffins”. (A plate of freshly-baked assorted muffins magically appeared in our room a few hours later!).88 Xintiandi will definitely be our home again when we are next in Shanghai. "
88 xintiandi executive residence ,great hotel fantastic hotel - rooms are awesome - ask for lake facing room though as back side gets noisy from niteclubs.breakie is basic perfect location thoughalways stay there when i'm in town 
88 xintiandi executive residence ,"Great modern boutique hotel This is a really nice place to stay in Shanghai.Small enough to feel special but big enough to handle all of your needs. The people who work there are very friendly and helpful. The rooms are larger than average, modern with plasma tv, free Wifi, foot massager and juicer (yes, fruit included) but the rooms still have a warm feeling to them. The elevated beds are really comfortable and the colored lights are a fun touch. You are not near the Bund or old Shanghai but they are just a 10 min cab ride away. You are in an upscale shopping area with some unique shops. nice walking. You won't go wrong booking a room here. "
88 xintiandi executive residence ,"It was just OK Maybe I had higher expections than I should have.I had arranged for hotel airport transportation in advance. Perhaps it was an omen, but the driver didn't show up. I called the hotel, racking up more $$ on my cell phone, and finally, the driver hurries over and says he was waiting for us at another gate. He could have smoothed things over if he had apologized, but instead went on and on about how he waited at the international gate. I explained to him that it was his error, cause we came from Beijing (domestic gate) , not San Francisco. I had submitted all the airline info to the hotel in advance. Whatever! I was aggravated.Then when I checked in, I was told I had only 1 room. I had originally asked for one 2 bedroom suite, but they e-mailed me to change it to two standard rooms. So when I questioned it at check-in, and was told indeed was only for 1 room, I assumed the hotel changed it back to the 2 bedroom suite. Of course, when we got to the room, it was just a standard room and clearly couldn't accomodate all 6 of us. I had to call front desk, to clear things up. They did quickly sent up another key for the 2nd room. I have no complaints about the amenities. The rooms were nice enough, the location was great if you like trendy ex-pat friendly restaurants. The staff was friendly. The breakfast though had lots of choices, were not the best quality.More problems occured after the first night when my room had no hot water. We had to use another room to take a shower. Then, when we returned to the hotel in the same afternoon, my brother's room had no water at all! So, they had to move him to another room. When I went to the front desk to complain, they assured me that the replacement room was larger. It wasn't. My brother then had to move to yet another room.The staff was very apologetic, but water problems in 2 separate rooms were simply not acceptable for how expensive the rooms were. I'm starting to think I should stick to American chain hotels instead of these independent boutique places.To the hotel's credit, the manager did call me personally and offered free airport transportation to the airport for our return trip, and sent over some fruit and gifts. It was nice of her, but I would have rather have a problem free stay than freebies.Had we not had any problems, I would have been a very happy camper. I wonder if my experience is that out of the ordinary though having water problems in 2 separate rooms would indicate otherwise. Would I stay there again? Probably not. I think I'll try another hotel. "
88 xintiandi executive residence ,"Exceeds all expectations 88 Xintiandi is a truly wonderful boutique hotel. It excels in all aspects: service, design, room size, and location. More over there is a &quot;generosity of spirit&quot;, nothing feels mean nor cost saving. The staff are lovely and very helpful. Everything we asked for was provided in a relaxed and no fuss manner.For breakfast one can sit out on the terrace and look over the old roofs of Shanghai. They could improve the coffee as machine espresso, but then I have never stayed in a hotel in China that did wonderful coffee? Our room was huge and very nice too with wee balconies. Beautiful flower arrangements adorn the hallways that are decorated extremely tastefully with Chinese antique furniture.Also free and working internet. Fabulous. "
